emp_code,trans_id,date,latt,longi
E0557,YE055720170501181201,2017-05-01 18:12:00,26.6370531,92.7933872
E0557,YE055720170501181347,2017-05-01 18:13:00,26.6370531,92.7933872
E0557,YE055720170501181536,2017-05-01 18:15:00,26.6370531,92.7933872
E0557,YE055720170501181740,2017-05-01 18:17:00,26.6370531,92.7933872
E0557,YE055720170501182140,2017-05-01 18:21:00,26.6370531,92.7933872
E0557,YE055720170501212035,2017-05-01 21:20:00,26.6366362,92.7958775
E0557,YE055720170501212148,2017-05-01 21:21:00,26.6366362,92.7958775
E0557,YE055720170501212821,2017-05-01 21:28:00,26.6366362,92.7958775
E0557,YE055720170501213037,2017-05-01 21:30:00,26.6370531,92.7933872
E0557,YE055720170501213321,2017-05-01 21:33:00,26.6370531,92.7933872
E0557,YE055720170501213426,2017-05-01 21:34:00,26.6370531,92.7933872
E0557,YE055720170501213620,2017-05-01 21:36:00,26.6366362,92.7958775
E0557,YE055720170501213745,2017-05-01 21:37:00,26.6366362,92.7958775
E0557,YE055720170501220728,2017-05-01 22:07:00,26.6419309,92.7887182
E0557,YE055720170501220845,2017-05-01 22:08:00,26.6419309,92.7887182
E0557,YE055720170501220944,2017-05-01 22:09:00,26.6366362,92.7958775
E0557,YE055720170501221139,2017-05-01 22:11:00,26.6370531,92.7933872
E0557,YE055720170501221414,2017-05-01 22:14:00,26.6370531,92.7933872
E0557,YE055720170501221915,2017-05-01 22:19:00,26.6370531,92.7933872
E0557,YE055720170501222047,2017-05-01 22:20:00,26.6370531,92.7933872
E0557,YE055720170502073603,2017-05-02 07:36:00,26.6356937,92.7951099
E0557,YE055720170502073711,2017-05-02 07:37:00,26.6356937,92.7951099
E0557,YE055720170502073943,2017-05-02 07:39:00,26.6393839,92.787162
E0557,YE055720170502074101,2017-05-02 07:41:00,26.6393839,92.787162
E0557,YE055720170502074310,2017-05-02 07:43:00,26.6393839,92.787162
E0557,YE055720170502074411,2017-05-02 07:44:00,26.6393839,92.787162
E0557,YE055720170502074530,2017-05-02 07:45:00,26.6393839,92.787162
E0557,YE055720170502074612,2017-05-02 07:46:00,26.6393839,92.787162
E0557,YE055720170502074710,2017-05-02 07:47:00,26.6393839,92.787162
E0557,YE055720170502074822,2017-05-02 07:48:00,26.6393839,92.787162
E0557,YE055720170502074940,2017-05-02 07:49:00,26.6393839,92.787162
E0557,YE055720170502075106,2017-05-02 07:51:00,26.6356937,92.7951099
E0557,YE055720170502075200,2017-05-02 07:52:00,26.6393839,92.787162
E0557,YE055720170502075256,2017-05-02 07:52:00,26.6393839,92.787162
E0557,YE055720170502075604,2017-05-02 07:56:00,26.6393839,92.787162
E0557,YE055720170502075803,2017-05-02 07:58:00,26.6393839,92.787162
E0557,YE055720170502075855,2017-05-02 07:58:00,26.6393839,92.787162
E0557,YE055720170502075942,2017-05-02 07:59:00,26.6393839,92.787162
E0557,YE055720170502080045,2017-05-02 08:00:00,26.6393839,92.787162
E0557,YE055720170502080143,2017-05-02 08:01:00,26.6393839,92.787162
E0557,YE055720170502080236,2017-05-02 08:02:00,26.6393839,92.787162
E0557,YE055720170502081041,2017-05-02 08:10:00,26.6393839,92.787162
E0557,YE055720170502081145,2017-05-02 08:11:00,26.6393839,92.787162
E0557,YE055720170502081254,2017-05-02 08:12:00,26.6393839,92.787162
E0557,YE055720170502081428,2017-05-02 08:14:00,26.6393839,92.787162
E0557,YE055720170502081543,2017-05-02 08:15:00,26.6393839,92.787162
E0557,YE055720170502081635,2017-05-02 08:16:00,26.6393839,92.787162
E0557,YE055720170502081726,2017-05-02 08:17:00,26.6393839,92.787162
E0557,YE055720170502081844,2017-05-02 08:18:00,26.6393839,92.787162
E0557,YE055720170502082031,2017-05-02 08:20:00,26.6393839,92.787162
E0557,YE055720170502082140,2017-05-02 08:21:00,26.6393839,92.787162
E0557,YE055720170502082354,2017-05-02 08:23:00,26.6393839,92.787162
E0557,YE055720170502082525,2017-05-02 08:25:00,26.6393839,92.787162
E0557,YE055720170502082703,2017-05-02 08:27:00,26.6393839,92.787162
E0557,YE055720170502082849,2017-05-02 08:28:00,26.6393839,92.787162
E0557,YE055720170502182835,2017-05-02 18:28:00,26.4974455,90.7018935
E0557,YE055720170502183227,2017-05-02 18:32:00,26.6363985,92.7958432
E0557,YE055720170503095727,2017-05-03 09:57:00,26.1619843,91.7712641
